genus,sequences,species,accuracy
Pristolepis,7,1,1.0
Pomadasys,4,1,1.0
Polymixia,5,1,1.0
Salmo,14,1,1.0
Rohtee,4,1,1.0
Rita,45,4,1.0
Rhynchorhamphus,15,1,1.0
Rhinomugil,17,1,1.0
Rastrelliger,10,1,1.0
Pycnocraspedum,5,1,1.0
Puntigrus,4,1,1.0
Pterygoplichthys,7,1,1.0
Pterois,4,1,1.0
Pterocryptis,6,1,1.0
Psilorhynchus,18,3,1.0
Chanda,49,1,1.0
Chagunius,14,1,1.0
Cephalopholis,9,2,1.0
Carinotetraodon,6,1,1.0
Caranx,21,3,1.0
Carangoides,8,1,1.0
Canthophrys,9,1,1.0
Caesio,5,1,1.0
Butis,23,2,1.0
Bregmaceros,4,1,1.0
Brachirus,10,1,1.0
Botia,26,3,1.0
Boleophthalmus,20,1,1.0
Bhavania,24,1,1.0
Bathygobius,18,2,1.0
Sicyopterus,6,1,1.0
Selaroides,5,1,1.0
Selar,7,1,1.0
Scolopsis,7,1,1.0
Scatophagus,8,1,1.0
Sauromuraenesox,4,1,1.0
Sargocentron,9,1,1.0
Sardinella,19,2,1.0
Systomus,66,1,1.0
Strophidon,62,4,1.0
Strongylura,13,2,1.0
Stigmatogobius,4,1,1.0
Stethojulis,6,1,1.0
Stenogobius,5,1,1.0
Solea,5,1,1.0
Sillaginopodys,7,1,1.0
Barbodes,10,1,1.0
Balitora,10,2,1.0
Balantiocheilos,12,1,1.0
Bagarius,18,1,1.0
Badis,30,1,1.0
Atule,6,1,1.0
Atropus,4,1,1.0
Atrobucca,10,1,1.0
Ariosoma,11,2,1.0
Arcygobius,6,1,1.0
Aplocheilus,31,4,1.0
Xenentodon,33,1,1.0
Yongeichthys,6,1,1.0
Aborichthys,6,1,1.0
