threshold,unseen correctly refused,known still identified,accuracy on accepted known
0.0,0.0,1.0,0.9218942189421894
0.025,0.012934518997574777,0.998769987699877,0.9230295566502463
0.05,0.3767178658043654,0.992619926199262,0.9275092936802974
0.07500000000000001,0.6370250606305577,0.9846248462484625,0.9319175515302935
0.1,0.6976556184316896,0.981549815498155,0.9329573934837093
0.125,0.7477768795472919,0.980319803198032,0.9335006273525721
0.15000000000000002,0.7647534357316087,0.972939729397294,0.934260429835651
0.17500000000000002,0.8108326596604689,0.965559655596556,0.9343949044585987
0.2,0.8375101050929669,0.9606396063960639,0.9346991037131882
0.225,0.8488278092158448,0.955719557195572,0.9343629343629344
0.25,0.8520614389652384,0.9477244772447725,0.9344581440622972
0.275,0.862570735650768,0.939729397293973,0.9345549738219895
0.30000000000000004,0.8658043654001617,0.9298892988929889,0.9358465608465608
0.325,0.8698464025869038,0.9200492004920049,0.9364973262032086
0.35000000000000003,0.8811641067097817,0.9138991389913899,0.9360699865410498
0.375,0.8860145513338723,0.9071340713407134,0.9369491525423729
0.4,0.8916734033953112,0.8942189421894219,0.937414030261348
0.42500000000000004,0.898949070331447,0.8806888068880688,0.9378491620111732
0.45,0.9062247372675829,0.8683886838868389,0.9390934844192634
0.47500000000000003,0.9143088116410671,0.8480934809348093,0.9463379260333575
0.5,0.9215844785772029,0.8247232472324724,0.9522744220730798
0.525,0.9264349232012935,0.8038130381303813,0.9533282325937261
0.55,0.9320937752627324,0.7779827798277983,0.9549407114624506
0.5750000000000001,0.9393694421988682,0.7570725707257072,0.958570268074736
0.6000000000000001,0.9474535165723524,0.7324723247232472,0.961376994122586
0.625,0.9547291835084882,0.7103321033210332,0.9636363636363636
0.65,0.9628132578819725,0.6820418204182042,0.9675383228133454
0.675,0.9668552950687146,0.6537515375153752,0.9708372530573848
0.7000000000000001,0.9708973322554567,0.6248462484624846,0.9763779527559056
0.7250000000000001,0.9725141471301536,0.5947109471094711,0.9793174767321613
0.75,0.9765561843168957,0.567650676506765,0.9837486457204767
0.775,0.9781729991915926,0.5338253382533825,0.9838709677419355
0.8,0.9797898140662894,0.4981549815498155,0.9851851851851852
0.8250000000000001,0.9854486661277284,0.45940959409594095,0.9852744310575636
0.8500000000000001,0.9870654810024252,0.42496924969249694,0.9913169319826338
0.875,0.9894907033144705,0.37884378843788435,0.9935064935064936
0.9,0.9911075181891673,0.34071340713407133,0.9927797833935018
0.925,0.9919159256265158,0.2829028290282903,0.9956521739130435
0.9500000000000001,0.9927243330638642,0.22570725707257072,0.9945504087193461
0.9750000000000001,0.9951495553759094,0.14391143911439114,0.9957264957264957
1.0,1.0,0.03136531365313653,0.9803921568627451
